Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 12/21  20:00:00,159528.9363426989,109545.89955980112,40970.146328124305,23411175.83684381,31114576.05374188,379494940.94823,29460155.814370826,0.0,1695253.8618067726
 12/21  21:00:00,131825.4830125605,139821.94599869527,39424.20959711389,23451904.766653758,88204589.20005931,59946134.88579024,80074236.33844656,0.0,1683762.1177881374
 12/21  22:00:00,97528.03808852917,170496.23475046005,36622.53766974625,23444535.004197277,99038141.0246601,53034183.286446765,91896031.05355825,0.0,1666169.2724285643
 12/21  23:00:00,60767.02333181586,220873.11632046456,37503.04210605651,23426570.623898234,105185119.788977,50622189.4379098,100339864.93829049,0.0,1641330.3567135488
 12/21  24:00:00,23767.668592257123,284595.83817768027,35133.249031113846,23401713.574605394,108775251.62708566,45805142.65019363,105851268.79867937,0.0,1612033.143501823
 12/22  01:00:00,2913.919261678642,339204.0861750817,32785.70130381141,7870940.785650967,111743118.2801679,27877112.340837717,109987170.93878113,0.0,534177.1160925612
 12/22  02:00:00,0.0,385731.94633257773,34375.82755747768,109932.374502928,112573566.28701098,20117694.055943344,111696956.45421486,0.0,0.0
 12/22  03:00:00,0.0,427103.0042109525,36709.89395351156,110393.22257437414,112522684.03988582,20120488.970410824,112263459.8660869,0.0,0.0
 12/22  04:00:00,0.0,464640.88715795276,38713.926832336496,110525.04125026843,112180000.93466364,20122624.82196554,112345224.271411,0.0,0.0
 12/22  05:00:00,0.0,600858.2127741724,63209.127289018106,119720.09197150939,109487482.89313234,20156315.073143467,120548868.86302012,0.0,0.0
 12/22  06:00:00,0.0,1002580.5437779255,116178.7348566817,144006.8109394264,107801345.72648776,20233571.399679046,135714166.67324126,0.0,0.0
 12/22  07:00:00,0.0,1412338.683170385,164565.95424185772,162578.1202925001,108151173.23073049,29597220.06605115,139229876.15105233,0.0,0.0
 12/22  08:00:00,0.0,568800.9396146272,43728.341026625225,101323.26299542258,100460636.63381013,491183678.80668724,84814723.10227159,0.0,0.0
 12/22  09:00:00,0.0,97718821.34193766,58742211.13339092,1321029.929984835,303749899.6776178,553496778.2387152,556085666.5337538,0.0,0.0
 12/22  10:00:00,0.0,44935582.199083135,57055895.98265278,562686.6157111415,198416221.28181028,573390236.8599613,232515022.41367248,0.0,0.0
 12/22  11:00:00,23502.06379185585,26849219.197427005,56787459.866312325,23741159.23670516,184138852.94139272,598709316.3897028,201512047.9693495,0.0,1596248.8266289248
 12/22  12:00:00,61883.64213318833,15675650.246802121,56459872.686849706,23640779.236328088,172381641.89601,605183129.3748227,168478585.3364031,0.0,1600609.1889486758
 12/22  13:00:00,69569.32313040548,9380034.680131895,56154277.34525426,23555863.024806347,167989554.10197073,604792617.8217056,145597971.55758524,0.0,1602676.4898843605
 12/22  14:00:00,70819.94226358416,6671380.782971525,56014577.331054315,23510983.32302448,167234410.13645846,604608038.1057237,146737837.04802313,0.0,1596851.0392029285
